# z[m]	| T [degC]
0.253033	|20.776533
0.253145	|20.777753
0.253257	|20.778973
0.253369	|20.780194
0.253481	|20.781414
0.253593	|20.782634
0.253705	|20.783854
0.253817	|20.785074
0.253929	|20.786295
0.254041	|20.787515
0.254153	|20.788735
0.254265	|20.789955
0.254377	|20.791175
0.254489	|20.792396
0.254601	|20.793616
0.254713	|20.794836
0.254825	|20.796056
0.254937	|20.797276
0.255050	|20.798496
0.255162	|20.799716
0.255274	|20.800936
0.255386	|20.802156
0.255498	|20.803377
0.255610	|20.804597
0.255722	|20.805817
0.255834	|20.807037
0.255946	|20.808257
0.256058	|20.809477
0.256170	|20.810697
0.256282	|20.811917
0.256394	|20.813137
0.256506	|20.814357
0.256618	|20.815577
0.256730	|20.816797
0.256842	|20.818017
0.256954	|20.819237
0.257066	|20.820457
0.257178	|20.821677
0.257290	|20.822897
0.257402	|20.824117
0.257514	|20.825337
0.257626	|20.826557
0.257738	|20.827777
0.257850	|20.828997
0.257962	|20.830216
0.258074	|20.831436
0.258186	|20.832656
0.258298	|20.833876
0.258410	|20.835096
0.258522	|20.836316
0.258634	|20.837536
0.258746	|20.838756
0.258858	|20.839975
0.258970	|20.841195
0.259082	|20.842415
0.259194	|20.843635
0.259306	|20.844855
0.259418	|20.846075
0.259530	|20.847294
0.259642	|20.848514
0.259754	|20.849734
0.259866	|20.850954
0.259978	|20.852174
0.260090	|20.853393
0.260202	|20.854613
0.260314	|20.855833
0.260426	|20.857053
0.260538	|20.858272
0.260650	|20.859492
0.260762	|20.860712
0.260874	|20.861931
0.260986	|20.863151
0.261098	|20.864371
0.261210	|20.865591
0.261322	|20.866810
0.261434	|20.868030
0.261546	|20.869250
0.261658	|20.870469
0.261770	|20.871689
0.261882	|20.872909
0.261994	|20.874128
0.262106	|20.875348
0.262218	|20.876567
0.262330	|20.877787
0.262442	|20.879007
0.262554	|20.880226
0.262666	|20.881446
0.262778	|20.882665
0.262890	|20.883885
0.263002	|20.885105
0.263114	|20.886324
0.263226	|20.887544
0.263338	|20.888763
0.263450	|20.889983
0.263562	|20.891202
0.263674	|20.892422
0.263786	|20.893641
0.263898	|20.894861
0.264010	|20.896080
0.264122	|20.897300
0.264234	|20.898519
0.264346	|20.899739
0.264458	|20.900958
0.264570	|20.902178
0.264682	|20.903397
0.264794	|20.904617
0.264906	|20.905836
0.265019	|20.907055
0.265131	|20.908275
0.265243	|20.909494
0.265355	|20.910714
0.265467	|20.911933
0.265579	|20.913152
0.265691	|20.914372
0.265803	|20.915591
0.265915	|20.916811
0.266027	|20.918030
0.266139	|20.919249
0.266251	|20.920469
0.266363	|20.921688
0.266475	|20.922907
0.266587	|20.924127
0.266699	|20.925346
0.266811	|20.926565
0.266923	|20.927785
0.267035	|20.929004
0.267147	|20.930223
0.267259	|20.931442
0.267371	|20.932662
0.267483	|20.933881
0.267595	|20.935100
0.267707	|20.936319
0.267819	|20.937539
0.267931	|20.938758
0.268043	|20.939977
0.268155	|20.941196
0.268267	|20.942415
0.268379	|20.943635
0.268491	|20.944854
0.268603	|20.946073
0.268715	|20.947292
0.268827	|20.948511
0.268939	|20.949731
0.269051	|20.950950
0.269163	|20.952169
0.269275	|20.953388
0.269387	|20.954607
0.269499	|20.955826
0.269611	|20.957045
0.269723	|20.958264
0.269835	|20.959484
0.269947	|20.960703
0.270059	|20.961922
0.270171	|20.963141
0.270283	|20.964360
0.270395	|20.965579
0.270507	|20.966798
0.270619	|20.968017
0.270731	|20.969236
0.270843	|20.970455
0.270955	|20.971674
0.271067	|20.972893
0.271179	|20.974112
0.271291	|20.975331
0.271403	|20.976550
0.271515	|20.977769
0.271627	|20.978988
0.271739	|20.980207
0.271851	|20.981426
0.271963	|20.982645
0.272075	|20.983864
0.272187	|20.985083
0.272299	|20.986302
0.272411	|20.987521
0.272523	|20.988740
0.272635	|20.989958
0.272747	|20.991177
0.272859	|20.992396
0.272971	|20.993615
0.273083	|20.994834
0.273195	|20.996053
0.273307	|20.997272
0.273419	|20.998491
0.273531	|20.999709
0.273643	|21.000928
0.273755	|21.002147
0.273867	|21.003366
0.273979	|21.004585
0.274091	|21.005803
0.274203	|21.007022
0.274315	|21.008241
0.274427	|21.009460
0.274539	|21.010679
0.274651	|21.011897
0.274763	|21.013116
0.274875	|21.014335
0.274987	|21.015554
0.275100	|21.016772
0.275212	|21.017991
0.275324	|21.019210
0.275436	|21.020429
0.275548	|21.021647
0.275660	|21.022866
0.275772	|21.024085
0.275884	|21.025303
0.275996	|21.026522
0.276108	|21.027741
0.276220	|21.028959
0.276332	|21.030178
0.276444	|21.031397
0.276556	|21.032615
0.276668	|21.033834
0.276780	|21.035052
0.276892	|21.036271
0.277004	|21.037490
0.277116	|21.038708
0.277228	|21.039927
0.277340	|21.041145
0.277452	|21.042364
0.277564	|21.043583
0.277676	|21.044801
0.277788	|21.046020
0.277900	|21.047238
0.278012	|21.048457
0.278124	|21.049675
0.278236	|21.050894
0.278348	|21.052112
0.278460	|21.053331
0.278572	|21.054549
0.278684	|21.055768
0.278796	|21.056986
0.278908	|21.058205
0.279020	|21.059423
0.279132	|21.060642
0.279244	|21.061860
0.279356	|21.063079
0.279468	|21.064297
0.279580	|21.065515
0.279692	|21.066734
0.279804	|21.067952
0.279916	|21.069171
0.280028	|21.070389
0.280140	|21.071607
0.280252	|21.072826
0.280364	|21.074044
0.280476	|21.075263
0.280588	|21.076481
0.280700	|21.077699
0.280812	|21.078918
0.280924	|21.080136
0.281036	|21.081354
0.281148	|21.082573
0.281260	|21.083791
0.281372	|21.085009
0.281484	|21.086227
0.281596	|21.087446
0.281708	|21.088664
0.281820	|21.089882
0.281932	|21.091101
0.282044	|21.092319
0.282156	|21.093537
0.282268	|21.094755
0.282380	|21.095974
0.282492	|21.097192
0.282604	|21.098410
0.282716	|21.099628
0.282828	|21.100846
0.282940	|21.102065
0.283052	|21.103283
0.283164	|21.104501
0.283276	|21.105719
0.283388	|21.106937
0.283500	|21.108155
0.283612	|21.109374
0.283724	|21.110592
0.283836	|21.111810
0.283948	|21.113028
0.284060	|21.114246
0.284172	|21.115464
0.284284	|21.116682
0.284396	|21.117900
0.284508	|21.119119
0.284620	|21.120337
0.284732	|21.121555
0.284844	|21.122773
0.284956	|21.123991
0.285069	|21.125209
0.285181	|21.126427
0.285293	|21.127645
0.285405	|21.128863
0.285517	|21.130081
0.285629	|21.131299
0.285741	|21.132517
0.285853	|21.133735
0.285965	|21.134953
0.286077	|21.136171
0.286189	|21.137389
0.286301	|21.138607
0.286413	|21.139825
0.286525	|21.141043
0.286637	|21.142261
0.286749	|21.143479
0.286861	|21.144697
0.286973	|21.145915
0.287085	|21.147132
0.287197	|21.148350
0.287309	|21.149568
0.287421	|21.150786
0.287533	|21.152004
0.287645	|21.153222
0.287757	|21.154440
0.287869	|21.155658
0.287981	|21.156875
0.288093	|21.158093
0.288205	|21.159311
0.288317	|21.160529
0.288429	|21.161747
0.288541	|21.162965
0.288653	|21.164182
0.288765	|21.165400
0.288877	|21.166618
0.288989	|21.167836
0.289101	|21.169054
0.289213	|21.170271
0.289325	|21.171489
0.289437	|21.172707
0.289549	|21.173925
0.289661	|21.175142
0.289773	|21.176360
0.289885	|21.177578
0.289997	|21.178795
0.290109	|21.180013
0.290221	|21.181231
0.290333	|21.182449
0.290445	|21.183666
0.290557	|21.184884
0.290669	|21.186102
0.290781	|21.187319
0.290893	|21.188537
0.291005	|21.189754
0.291117	|21.190972
0.291229	|21.192190
0.291341	|21.193407
0.291453	|21.194625
0.291565	|21.195843
0.291677	|21.197060
0.291789	|21.198278
0.291901	|21.199495
0.292013	|21.200713
0.292125	|21.201930
0.292237	|21.203148
0.292349	|21.204366
0.292461	|21.205583
0.292573	|21.206801
0.292685	|21.208018
0.292797	|21.209236
0.292909	|21.210453
0.293021	|21.211671
0.293133	|21.212888
0.293245	|21.214106
0.293357	|21.215323
0.293469	|21.216541
0.293581	|21.217758
0.293693	|21.218976
0.293805	|21.220193
0.293917	|21.221410
0.294029	|21.222628
0.294141	|21.223845
0.294253	|21.225063
0.294365	|21.226280
0.294477	|21.227498
0.294589	|21.228715
0.294701	|21.229932
0.294813	|21.231150
0.294925	|21.232367
0.295038	|21.233584
0.295150	|21.234802
0.295262	|21.236019
0.295374	|21.237237
0.295486	|21.238454
0.295598	|21.239671
0.295710	|21.240889
0.295822	|21.242106
0.295934	|21.243323
0.296046	|21.244540
0.296158	|21.245758
0.296270	|21.246975
0.296382	|21.248192
0.296494	|21.249410
0.296606	|21.250627
0.296718	|21.251844
0.296830	|21.253061
0.296942	|21.254279
0.297054	|21.255496
0.297166	|21.256713
0.297278	|21.257930
0.297390	|21.259147
0.297502	|21.260365
0.297614	|21.261582
0.297726	|21.262799
0.297838	|21.264016
0.297950	|21.265233
0.298062	|21.266450
0.298174	|21.267668
0.298286	|21.268885
0.298398	|21.270102
0.298510	|21.271319
0.298622	|21.272536
0.298734	|21.273753
0.298846	|21.274970
0.298958	|21.276187
0.299070	|21.277405
0.299182	|21.278622
0.299294	|21.279839
0.299406	|21.281056
0.299518	|21.282273
0.299630	|21.283490
0.299742	|21.284707
0.299854	|21.285924
0.299966	|21.287141
0.300078	|21.288358
0.300190	|21.289575
0.300302	|21.290792
0.300414	|21.292009
0.300526	|21.293226
0.300638	|21.294443
0.300750	|21.295660
0.300862	|21.296877
0.300974	|21.298094
0.301086	|21.299311
0.301198	|21.300528
0.301310	|21.301745
0.301422	|21.302962
0.301534	|21.304179
0.301646	|21.305396
0.301758	|21.306612
0.301870	|21.307829
0.301982	|21.309046
0.302094	|21.310263
0.302206	|21.311480
0.302318	|21.312697
0.302430	|21.313914
0.302542	|21.315131
0.302654	|21.316347
0.302766	|21.317564
0.302878	|21.318781
0.302990	|21.319998
0.303102	|21.321215
0.303214	|21.322431
0.303326	|21.323648
0.303438	|21.324865
0.303550	|21.326082
0.303662	|21.327299
0.303774	|21.328515
0.303886	|21.329732
0.303998	|21.330949
0.304110	|21.332166
0.304222	|21.333382
0.304334	|21.334599
0.304446	|21.335816
0.304558	|21.337033
0.304670	|21.338249
0.304782	|21.339466
0.304894	|21.340683
0.305007	|21.341899
0.305119	|21.343116
0.305231	|21.344333
0.305343	|21.345549
0.305455	|21.346766
0.305567	|21.347983
0.305679	|21.349199
0.305791	|21.350416
0.305903	|21.351633
0.306015	|21.352849
0.306127	|21.354066
0.306239	|21.355282
0.306351	|21.356499
0.306463	|21.357716
0.306575	|21.358932
0.306687	|21.360149
0.306799	|21.361365
0.306911	|21.362582
0.307023	|21.363798
0.307135	|21.365015
0.307247	|21.366231
0.307359	|21.367448
0.307471	|21.368664
0.307583	|21.369881
0.307695	|21.371097
0.307807	|21.372314
0.307919	|21.373530
0.308031	|21.374747
0.308143	|21.375963
0.308255	|21.377180
0.308367	|21.378396
0.308479	|21.379613
0.308591	|21.380829
0.308703	|21.382046
0.308815	|21.383262
0.308927	|21.384478
0.309039	|21.385695
0.309151	|21.386911
0.309263	|21.388128
0.309375	|21.389344
0.309487	|21.390560
0.309599	|21.391777
0.309711	|21.392993
0.309823	|21.394209
0.309935	|21.395426
0.310047	|21.396642
0.310159	|21.397858
0.310271	|21.399075
0.310383	|21.400291
0.310495	|21.401507
0.310607	|21.402724
0.310719	|21.403940
0.310831	|21.405156
0.310943	|21.406373
0.311055	|21.407589
0.311167	|21.408805
0.311279	|21.410021
0.311391	|21.411238
0.311503	|21.412454
0.311615	|21.413670
0.311727	|21.414886
0.311839	|21.416103
0.311951	|21.417319
0.312063	|21.418535
0.312175	|21.419751
0.312287	|21.420967
0.312399	|21.422183
0.312511	|21.423400
0.312623	|21.424616
0.312735	|21.425832
0.312847	|21.427048
0.312959	|21.428264
0.313071	|21.429480
0.313183	|21.430697
0.313295	|21.431913
0.313407	|21.433129
0.313519	|21.434345
0.313631	|21.435561
0.313743	|21.436777
0.313855	|21.437993
0.313967	|21.439209
0.314079	|21.440425
0.314191	|21.441641
0.314303	|21.442857
0.314415	|21.444073
0.314527	|21.445289
0.314639	|21.446505
0.314751	|21.447721
0.314863	|21.448937
0.314975	|21.450153
0.315088	|21.451369
0.315200	|21.452585
0.315312	|21.453801
0.315424	|21.455017
0.315536	|21.456233
0.315648	|21.457449
0.315760	|21.458665
0.315872	|21.459881
0.315984	|21.461097
0.316096	|21.462313
0.316208	|21.463529
0.316320	|21.464745
0.316432	|21.465961
0.316544	|21.467177
0.316656	|21.468393
0.316768	|21.469608
0.316880	|21.470824
0.316992	|21.472040
0.317104	|21.473256
0.317216	|21.474472
0.317328	|21.475688
0.317440	|21.476904
0.317552	|21.478119
0.317664	|21.479335
0.317776	|21.480551
0.317888	|21.481767
0.318000	|21.482983
0.318112	|21.484198
0.318224	|21.485414
0.318336	|21.486630
0.318448	|21.487846
0.318560	|21.489062
0.318672	|21.490277
0.318784	|21.491493
0.318896	|21.492709
0.319008	|21.493924
0.319120	|21.495140
0.319232	|21.496356
0.319344	|21.497572
0.319456	|21.498787
0.319568	|21.500003
0.319680	|21.501219
0.319792	|21.502434
0.319904	|21.503650
0.320016	|21.504866
0.320128	|21.506081
0.320240	|21.507297
0.320352	|21.508513
0.320464	|21.509728
0.320576	|21.510944
0.320688	|21.512159
0.320800	|21.513375
0.320912	|21.514591
0.321024	|21.515806
0.321136	|21.517022
0.321248	|21.518237
0.321360	|21.519453
0.321472	|21.520669
0.321584	|21.521884
0.321696	|21.523100
0.321808	|21.524315
0.321920	|21.525531
0.322032	|21.526746
0.322144	|21.527962
0.322256	|21.529177
0.322368	|21.530393
0.322480	|21.531608
0.322592	|21.532824
0.322704	|21.534039
0.322816	|21.535255
0.322928	|21.536470
0.323040	|21.537686
0.323152	|21.538901
0.323264	|21.540116
0.323376	|21.541332
0.323488	|21.542547
0.323600	|21.543763
0.323712	|21.544978
0.323824	|21.546193
0.323936	|21.547409
0.324048	|21.548624
0.324160	|21.549840
0.324272	|21.551055
0.324384	|21.552270
0.324496	|21.553486
0.324608	|21.554701
0.324720	|21.555916
0.324832	|21.557132
0.324944	|21.558347
0.325057	|21.559562
0.325169	|21.560778
0.325281	|21.561993
0.325393	|21.563208
0.325505	|21.564424
0.325617	|21.565639
0.325729	|21.566854
0.325841	|21.568069
0.325953	|21.569285
0.326065	|21.570500
0.326177	|21.571715
0.326289	|21.572930
0.326401	|21.574146
0.326513	|21.575361
0.326625	|21.576576
0.326737	|21.577791
0.326849	|21.579006
0.326961	|21.580222
0.327073	|21.581437
0.327185	|21.582652
0.327297	|21.583867
0.327409	|21.585082
0.327521	|21.586297
0.327633	|21.587512
0.327745	|21.588728
0.327857	|21.589943
0.327969	|21.591158
0.328081	|21.592373
0.328193	|21.593588
0.328305	|21.594803
0.328417	|21.596018
0.328529	|21.597233
0.328641	|21.598448
0.328753	|21.599663
0.328865	|21.600878
0.328977	|21.602094
0.329089	|21.603309
0.329201	|21.604524
0.329313	|21.605739
0.329425	|21.606954
0.329537	|21.608169
0.329649	|21.609384
0.329761	|21.610599
0.329873	|21.611814
0.329985	|21.613029
0.330097	|21.614244
0.330209	|21.615459
0.330321	|21.616673
0.330433	|21.617888
0.330545	|21.619103
0.330657	|21.620318
0.330769	|21.621533
0.330881	|21.622748
0.330993	|21.623963
0.331105	|21.625178
0.331217	|21.626393
0.331329	|21.627608
0.331441	|21.628823
0.331553	|21.630037
0.331665	|21.631252
0.331777	|21.632467
0.331889	|21.633682
0.332001	|21.634897
0.332113	|21.636112
0.332225	|21.637327
0.332337	|21.638541
0.332449	|21.639756
0.332561	|21.640971
0.332673	|21.642186
0.332785	|21.643401
0.332897	|21.644615
0.333009	|21.645830
0.333121	|21.647045
0.333233	|21.648260
0.333345	|21.649474
0.333457	|21.650689
0.333569	|21.651904
0.333681	|21.653119
0.333793	|21.654333
0.333905	|21.655548
0.334017	|21.656763
0.334129	|21.657977
0.334241	|21.659192
0.334353	|21.660407
0.334465	|21.661621
0.334577	|21.662836
0.334689	|21.664051
0.334801	|21.665265
0.334913	|21.666480
0.335026	|21.667695
0.335138	|21.668909
0.335250	|21.670124
0.335362	|21.671339
0.335474	|21.672553
0.335586	|21.673768
0.335698	|21.674982
0.335810	|21.676197
0.335922	|21.677412
0.336034	|21.678626
0.336146	|21.679841
0.336258	|21.681055
0.336370	|21.682270
0.336482	|21.683484
0.336594	|21.684699
0.336706	|21.685913
0.336818	|21.687128
0.336930	|21.688342
0.337042	|21.689557
0.337154	|21.690771
0.337266	|21.691986
0.337378	|21.693200
0.337490	|21.694415
0.337602	|21.695629
0.337714	|21.696844
0.337826	|21.698058
0.337938	|21.699273
0.338050	|21.700487
0.338162	|21.701701
0.338274	|21.702916
0.338386	|21.704130
0.338498	|21.705345
0.338610	|21.706559
0.338722	|21.707773
0.338834	|21.708988
0.338946	|21.710202
0.339058	|21.711416
0.339170	|21.712631
0.339282	|21.713845
0.339394	|21.715060
0.339506	|21.716274
0.339618	|21.717488
0.339730	|21.718702
0.339842	|21.719917
0.339954	|21.721131
0.340066	|21.722345
0.340178	|21.723560
0.340290	|21.724774
0.340402	|21.725988
0.340514	|21.727202
0.340626	|21.728417
0.340738	|21.729631
0.340850	|21.730845
0.340962	|21.732059
0.341074	|21.733274
0.341186	|21.734488
0.341298	|21.735702
0.341410	|21.736916
0.341522	|21.738130
0.341634	|21.739345
0.341746	|21.740559
0.341858	|21.741773
0.341970	|21.742987
0.342082	|21.744201
0.342194	|21.745415
0.342306	|21.746630
0.342418	|21.747844
0.342530	|21.749058
0.342642	|21.750272
0.342754	|21.751486
0.342866	|21.752700
0.342978	|21.753914
0.343090	|21.755128
0.343202	|21.756342
0.343314	|21.757557
0.343426	|21.758771
0.343538	|21.759985
0.343650	|21.761199
0.343762	|21.762413
0.343874	|21.763627
0.343986	|21.764841
0.344098	|21.766055
0.344210	|21.767269
0.344322	|21.768483
0.344434	|21.769697
0.344546	|21.770911
0.344658	|21.772125
0.344770	|21.773339
0.344882	|21.774553
0.344994	|21.775767
0.345107	|21.776981
0.345219	|21.778195
0.345331	|21.779409
0.345443	|21.780622
0.345555	|21.781836
0.345667	|21.783050
0.345779	|21.784264
0.345891	|21.785478
0.346003	|21.786692
0.346115	|21.787906
0.346227	|21.789120
0.346339	|21.790334
0.346451	|21.791547
0.346563	|21.792761
0.346675	|21.793975
0.346787	|21.795189
0.346899	|21.796403
0.347011	|21.797617
0.347123	|21.798830
0.347235	|21.800044
0.347347	|21.801258
0.347459	|21.802472
0.347571	|21.803686
0.347683	|21.804899
0.347795	|21.806113
0.347907	|21.807327
0.348019	|21.808541
0.348131	|21.809754
0.348243	|21.810968
0.348355	|21.812182
0.348467	|21.813396
0.348579	|21.814609
0.348691	|21.815823
0.348803	|21.817037
0.348915	|21.818250
0.349027	|21.819464
0.349139	|21.820678
0.349251	|21.821891
0.349363	|21.823105
0.349475	|21.824319
0.349587	|21.825532
0.349699	|21.826746
0.349811	|21.827960
0.349923	|21.829173
0.350035	|21.830387
0.350147	|21.831600
0.350259	|21.832814
0.350371	|21.834028
0.350483	|21.835241
0.350595	|21.836455
0.350707	|21.837668
0.350819	|21.838882
0.350931	|21.840096
0.351043	|21.841309
0.351155	|21.842523
0.351267	|21.843736
0.351379	|21.844950
0.351491	|21.846163
0.351603	|21.847377
0.351715	|21.848590
0.351827	|21.849804
0.351939	|21.851017
0.352051	|21.852231
0.352163	|21.853444
0.352275	|21.854658
0.352387	|21.855871
0.352499	|21.857084
0.352611	|21.858298
0.352723	|21.859511
0.352835	|21.860725
0.352947	|21.861938
0.353059	|21.863152
0.353171	|21.864365
0.353283	|21.865578
0.353395	|21.866792
0.353507	|21.868005
0.353619	|21.869219
0.353731	|21.870432
0.353843	|21.871645
0.353955	|21.872859
0.354067	|21.874072
0.354179	|21.875285
0.354291	|21.876499
0.354403	|21.877712
0.354515	|21.878925
0.354627	|21.880139
0.354739	|21.881352
0.354851	|21.882565
0.354963	|21.883778
0.355076	|21.884992
0.355188	|21.886205
0.355300	|21.887418
0.355412	|21.888631
0.355524	|21.889845
0.355636	|21.891058
0.355748	|21.892271
0.355860	|21.893484
0.355972	|21.894698
0.356084	|21.895911
0.356196	|21.897124
0.356308	|21.898337
0.356420	|21.899550
0.356532	|21.900763
0.356644	|21.901977
0.356756	|21.903190
0.356868	|21.904403
0.356980	|21.905616
0.357092	|21.906829
0.357204	|21.908042
0.357316	|21.909255
0.357428	|21.910469
0.357540	|21.911682
0.357652	|21.912895
0.357764	|21.914108
0.357876	|21.915321
0.357988	|21.916534
0.358100	|21.917747
0.358212	|21.918960
0.358324	|21.920173
0.358436	|21.921386
0.358548	|21.922599
0.358660	|21.923812
0.358772	|21.925025
0.358884	|21.926238
0.358996	|21.927451
0.359108	|21.928664
0.359220	|21.929877
0.359332	|21.931090
0.359444	|21.932303
0.359556	|21.933516
0.359668	|21.934729
0.359780	|21.935942
0.359892	|21.937155
0.360004	|21.938368
0.360116	|21.939581
0.360228	|21.940794
0.360340	|21.942007
0.360452	|21.943220
0.360564	|21.944433
0.360676	|21.945646
0.360788	|21.946858
0.360900	|21.948071
0.361012	|21.949284
0.361124	|21.950497
0.361236	|21.951710
0.361348	|21.952923
0.361460	|21.954136
0.361572	|21.955348
0.361684	|21.956561
0.361796	|21.957774
0.361908	|21.958987
0.362020	|21.960200
0.362132	|21.961412
0.362244	|21.962625
0.362356	|21.963838
0.362468	|21.965051
0.362580	|21.966264
0.362692	|21.967476
0.362804	|21.968689
0.362916	|21.969902
0.363028	|21.971115
0.363140	|21.972327
0.363252	|21.973540
0.363364	|21.974753
0.363476	|21.975965
0.363588	|21.977178
0.363700	|21.978391
0.363812	|21.979603
0.363924	|21.980816
0.364036	|21.982029
0.364148	|21.983241
0.364260	|21.984454
0.364372	|21.985667
0.364484	|21.986879
0.364596	|21.988092
0.364708	|21.989305
0.364820	|21.990517
0.364932	|21.991730
0.365045	|21.992942
0.365157	|21.994155
0.365269	|21.995368
0.365381	|21.996580
0.365493	|21.997793
0.365605	|21.999005
0.365717	|22.000218
0.365829	|22.001430
0.365941	|22.002643
0.366053	|22.003855
0.366165	|22.005068
0.366277	|22.006280
0.366389	|22.007493
0.366501	|22.008705
0.366613	|22.009918
0.366725	|22.011130
0.366837	|22.012343
0.366949	|22.013555
0.367061	|22.014768
0.367173	|22.015980
0.367285	|22.017193
0.367397	|22.018405
0.367509	|22.019618
0.367621	|22.020830
0.367733	|22.022042
0.367845	|22.023255
0.367957	|22.024467
0.368069	|22.025680
0.368181	|22.026892
0.368293	|22.028104
0.368405	|22.029317
0.368517	|22.030529
0.368629	|22.031742
0.368741	|22.032954
0.368853	|22.034166
0.368965	|22.035379
0.369077	|22.036591
0.369189	|22.037803
0.369301	|22.039015
0.369413	|22.040228
0.369525	|22.041440
0.369637	|22.042652
0.369749	|22.043865
0.369861	|22.045077
0.369973	|22.046289
0.370085	|22.047501
0.370197	|22.048714
0.370309	|22.049926
0.370421	|22.051138
0.370533	|22.052350
0.370645	|22.053563
0.370757	|22.054775
0.370869	|22.055987
0.370981	|22.057199
0.371093	|22.058411
0.371205	|22.059624
0.371317	|22.060836
0.371429	|22.062048
0.371541	|22.063260
0.371653	|22.064472
0.371765	|22.065684
0.371877	|22.066896
0.371989	|22.068109
0.372101	|22.069321
0.372213	|22.070533
0.372325	|22.071745
0.372437	|22.072957
0.372549	|22.074169
0.372661	|22.075381
0.372773	|22.076593
0.372885	|22.077805
0.372997	|22.079017
0.373109	|22.080229
0.373221	|22.081441
0.373333	|22.082654
0.373445	|22.083866
0.373557	|22.085078
0.373669	|22.086290
0.373781	|22.087502
0.373893	|22.088714
0.374005	|22.089926
0.374117	|22.091138
0.374229	|22.092350
0.374341	|22.093561
0.374453	|22.094773
0.374565	|22.095985
0.374677	|22.097197
0.374789	|22.098409
0.374901	|22.099621
0.375014	|22.100833
0.375126	|22.102045
0.375238	|22.103257
0.375350	|22.104469
0.375462	|22.105681
0.375574	|22.106893
0.375686	|22.108104
0.375798	|22.109316
0.375910	|22.110528
0.376022	|22.111740
0.376134	|22.112952
0.376246	|22.114164
0.376358	|22.115376
0.376470	|22.116587
0.376582	|22.117799
0.376694	|22.119011
0.376806	|22.120223
0.376918	|22.121435
0.377030	|22.122646
0.377142	|22.123858
0.377254	|22.125070
0.377366	|22.126282
0.377478	|22.127493
0.377590	|22.128705
0.377702	|22.129917
0.377814	|22.131129
0.377926	|22.132340
0.378038	|22.133552
0.378150	|22.134764
0.378262	|22.135976
0.378374	|22.137187
0.378486	|22.138399
0.378598	|22.139611
0.378710	|22.140822
0.378822	|22.142034
0.378934	|22.143246
0.379046	|22.144457
0.379158	|22.145669
0.379270	|22.146881
0.379382	|22.148092
0.379494	|22.149304
0.379606	|22.150515
0.379718	|22.151727
0.379830	|22.152939
0.379942	|22.154150
0.380054	|22.155362
0.380166	|22.156573
0.380278	|22.157785
0.380390	|22.158996
0.380502	|22.160208
0.380614	|22.161420
0.380726	|22.162631
0.380838	|22.163843
0.380950	|22.165054
0.381062	|22.166266
0.381174	|22.167477
0.381286	|22.168689
0.381398	|22.169900
0.381510	|22.171112
0.381622	|22.172323
0.381734	|22.173535
0.381846	|22.174746
0.381958	|22.175957
0.382070	|22.177169
0.382182	|22.178380
0.382294	|22.179592
0.382406	|22.180803
0.382518	|22.182015
0.382630	|22.183226
0.382742	|22.184437
0.382854	|22.185649
0.382966	|22.186860
0.383078	|22.188072
0.383190	|22.189283
0.383302	|22.190494
0.383414	|22.191706
0.383526	|22.192917
0.383638	|22.194128
0.383750	|22.195340
0.383862	|22.196551
0.383974	|22.197762
0.384086	|22.198974
0.384198	|22.200185
0.384310	|22.201396
0.384422	|22.202607
0.384534	|22.203819
0.384646	|22.205030
0.384758	|22.206241
0.384870	|22.207453
0.384982	|22.208664
0.385095	|22.209875
0.385207	|22.211086
0.385319	|22.212297
0.385431	|22.213509
0.385543	|22.214720
0.385655	|22.215931
0.385767	|22.217142
0.385879	|22.218354
0.385991	|22.219565
0.386103	|22.220776
0.386215	|22.221987
0.386327	|22.223198
0.386439	|22.224409
0.386551	|22.225620
0.386663	|22.226832
0.386775	|22.228043
0.386887	|22.229254
0.386999	|22.230465
0.387111	|22.231676
0.387223	|22.232887
0.387335	|22.234098
0.387447	|22.235309
0.387559	|22.236520
0.387671	|22.237731
0.387783	|22.238943
0.387895	|22.240154
0.388007	|22.241365
0.388119	|22.242576
0.388231	|22.243787
0.388343	|22.244998
0.388455	|22.246209
0.388567	|22.247420
0.388679	|22.248631
0.388791	|22.249842
0.388903	|22.251053
0.389015	|22.252264
0.389127	|22.253475
0.389239	|22.254686
0.389351	|22.255897
0.389463	|22.257107
0.389575	|22.258318
0.389687	|22.259529
0.389799	|22.260740
0.389911	|22.261951
0.390023	|22.263162
0.390135	|22.264373
0.390247	|22.265584
0.390359	|22.266795
0.390471	|22.268006
0.390583	|22.269217
0.390695	|22.270427
0.390807	|22.271638
0.390919	|22.272849
0.391031	|22.274060
0.391143	|22.275271
0.391255	|22.276482
0.391367	|22.277692
0.391479	|22.278903
0.391591	|22.280114
0.391703	|22.281325
0.391815	|22.282536
0.391927	|22.283746
0.392039	|22.284957
0.392151	|22.286168
0.392263	|22.287379
0.392375	|22.288589
0.392487	|22.289800
0.392599	|22.291011
0.392711	|22.292222
0.392823	|22.293432
0.392935	|22.294643
0.393047	|22.295854
0.393159	|22.297064
0.393271	|22.298275
0.393383	|22.299486
0.393495	|22.300696
0.393607	|22.301907
0.393719	|22.303118
0.393831	|22.304328
0.393943	|22.305539
0.394055	|22.306750
0.394167	|22.307960
0.394279	|22.309171
0.394391	|22.310382
0.394503	|22.311592
0.394615	|22.312803
0.394727	|22.314013
0.394839	|22.315224
0.394951	|22.316435
0.395064	|22.317645
0.395176	|22.318856
0.395288	|22.320066
