# z[m]	| T [degC]
0.032371	|18.357467
0.032483	|18.358702
0.032595	|18.359938
0.032707	|18.361174
0.032819	|18.362409
0.032931	|18.363645
0.033043	|18.364881
0.033155	|18.366117
0.033267	|18.367352
0.033379	|18.368588
0.033491	|18.369824
0.033603	|18.371059
0.033715	|18.372295
0.033827	|18.373531
0.033939	|18.374766
0.034051	|18.376002
0.034163	|18.377237
0.034275	|18.378473
0.034387	|18.379709
0.034499	|18.380944
0.034611	|18.382180
0.034723	|18.383415
0.034835	|18.384651
0.034947	|18.385887
0.035060	|18.387122
0.035172	|18.388358
0.035284	|18.389593
0.035396	|18.390829
0.035508	|18.392064
0.035620	|18.393300
0.035732	|18.394535
0.035844	|18.395771
0.035956	|18.397006
0.036068	|18.398242
0.036180	|18.399477
0.036292	|18.400713
0.036404	|18.401948
0.036516	|18.403184
0.036628	|18.404419
0.036740	|18.405655
0.036852	|18.406890
0.036964	|18.408125
0.037076	|18.409361
0.037188	|18.410596
0.037300	|18.411832
0.037412	|18.413067
0.037524	|18.414302
0.037636	|18.415538
0.037748	|18.416773
0.037860	|18.418009
0.037972	|18.419244
0.038084	|18.420479
0.038196	|18.421715
0.038308	|18.422950
0.038420	|18.424185
0.038532	|18.425421
0.038644	|18.426656
0.038756	|18.427891
0.038868	|18.429126
0.038980	|18.430362
0.039092	|18.431597
0.039204	|18.432832
0.039316	|18.434068
0.039428	|18.435303
0.039540	|18.436538
0.039652	|18.437773
0.039764	|18.439008
0.039876	|18.440244
0.039988	|18.441479
0.040100	|18.442714
0.040212	|18.443949
0.040324	|18.445184
0.040436	|18.446420
0.040548	|18.447655
0.040660	|18.448890
0.040772	|18.450125
0.040884	|18.451360
0.040996	|18.452595
0.041108	|18.453831
0.041220	|18.455066
0.041332	|18.456301
0.041444	|18.457536
0.041556	|18.458771
0.041668	|18.460006
0.041780	|18.461241
0.041892	|18.462476
0.042004	|18.463711
0.042116	|18.464946
0.042228	|18.466181
0.042340	|18.467416
0.042452	|18.468651
0.042564	|18.469887
0.042676	|18.471122
0.042788	|18.472357
0.042900	|18.473592
0.043012	|18.474827
0.043124	|18.476062
0.043236	|18.477296
0.043348	|18.478531
0.043460	|18.479766
0.043572	|18.481001
0.043684	|18.482236
0.043796	|18.483471
0.043908	|18.484706
0.044020	|18.485941
0.044132	|18.487176
0.044244	|18.488411
0.044356	|18.489646
0.044468	|18.490881
0.044580	|18.492116
0.044692	|18.493350
0.044804	|18.494585
0.044916	|18.495820
0.045029	|18.497055
0.045141	|18.498290
0.045253	|18.499525
0.045365	|18.500760
0.045477	|18.501994
0.045589	|18.503229
0.045701	|18.504464
0.045813	|18.505699
0.045925	|18.506934
0.046037	|18.508168
0.046149	|18.509403
0.046261	|18.510638
0.046373	|18.511873
0.046485	|18.513107
0.046597	|18.514342
0.046709	|18.515577
0.046821	|18.516812
0.046933	|18.518046
0.047045	|18.519281
0.047157	|18.520516
0.047269	|18.521750
0.047381	|18.522985
0.047493	|18.524220
0.047605	|18.525454
0.047717	|18.526689
0.047829	|18.527924
0.047941	|18.529158
0.048053	|18.530393
0.048165	|18.531628
0.048277	|18.532862
0.048389	|18.534097
0.048501	|18.535331
0.048613	|18.536566
0.048725	|18.537801
0.048837	|18.539035
0.048949	|18.540270
0.049061	|18.541504
0.049173	|18.542739
0.049285	|18.543973
0.049397	|18.545208
0.049509	|18.546442
0.049621	|18.547677
0.049733	|18.548911
0.049845	|18.550146
0.049957	|18.551380
0.050069	|18.552615
0.050181	|18.553849
0.050293	|18.555084
0.050405	|18.556318
0.050517	|18.557553
0.050629	|18.558787
0.050741	|18.560022
0.050853	|18.561256
0.050965	|18.562491
0.051077	|18.563725
0.051189	|18.564959
0.051301	|18.566194
0.051413	|18.567428
0.051525	|18.568663
0.051637	|18.569897
0.051749	|18.571131
0.051861	|18.572366
0.051973	|18.573600
0.052085	|18.574834
0.052197	|18.576069
0.052309	|18.577303
0.052421	|18.578537
0.052533	|18.579772
0.052645	|18.581006
0.052757	|18.582240
0.052869	|18.583475
0.052981	|18.584709
0.053093	|18.585943
0.053205	|18.587177
0.053317	|18.588412
0.053429	|18.589646
0.053541	|18.590880
0.053653	|18.592114
0.053765	|18.593349
0.053877	|18.594583
0.053989	|18.595817
0.054101	|18.597051
0.054213	|18.598285
0.054325	|18.599520
0.054437	|18.600754
0.054549	|18.601988
0.054661	|18.603222
0.054773	|18.604456
0.054885	|18.605690
0.054997	|18.606925
0.055110	|18.608159
0.055222	|18.609393
0.055334	|18.610627
0.055446	|18.611861
0.055558	|18.613095
0.055670	|18.614329
0.055782	|18.615563
0.055894	|18.616797
0.056006	|18.618031
0.056118	|18.619265
0.056230	|18.620500
0.056342	|18.621734
0.056454	|18.622968
0.056566	|18.624202
0.056678	|18.625436
0.056790	|18.626670
0.056902	|18.627904
0.057014	|18.629138
0.057126	|18.630372
0.057238	|18.631606
0.057350	|18.632840
0.057462	|18.634074
0.057574	|18.635307
0.057686	|18.636541
0.057798	|18.637775
0.057910	|18.639009
0.058022	|18.640243
0.058134	|18.641477
0.058246	|18.642711
0.058358	|18.643945
0.058470	|18.645179
0.058582	|18.646413
0.058694	|18.647647
0.058806	|18.648880
0.058918	|18.650114
0.059030	|18.651348
0.059142	|18.652582
0.059254	|18.653816
0.059366	|18.655050
0.059478	|18.656283
0.059590	|18.657517
0.059702	|18.658751
0.059814	|18.659985
0.059926	|18.661219
0.060038	|18.662452
0.060150	|18.663686
0.060262	|18.664920
0.060374	|18.666154
0.060486	|18.667387
0.060598	|18.668621
0.060710	|18.669855
0.060822	|18.671089
0.060934	|18.672322
0.061046	|18.673556
0.061158	|18.674790
0.061270	|18.676023
0.061382	|18.677257
0.061494	|18.678491
0.061606	|18.679725
0.061718	|18.680958
0.061830	|18.682192
0.061942	|18.683425
0.062054	|18.684659
0.062166	|18.685893
0.062278	|18.687126
0.062390	|18.688360
0.062502	|18.689594
0.062614	|18.690827
0.062726	|18.692061
0.062838	|18.693294
0.062950	|18.694528
0.063062	|18.695761
0.063174	|18.696995
0.063286	|18.698229
0.063398	|18.699462
0.063510	|18.700696
0.063622	|18.701929
0.063734	|18.703163
0.063846	|18.704396
0.063958	|18.705630
0.064070	|18.706863
0.064182	|18.708097
0.064294	|18.709330
0.064406	|18.710564
0.064518	|18.711797
0.064630	|18.713031
0.064742	|18.714264
0.064854	|18.715497
0.064966	|18.716731
0.065079	|18.717964
0.065191	|18.719198
0.065303	|18.720431
0.065415	|18.721664
0.065527	|18.722898
0.065639	|18.724131
0.065751	|18.725365
0.065863	|18.726598
0.065975	|18.727831
0.066087	|18.729065
0.066199	|18.730298
0.066311	|18.731531
0.066423	|18.732765
0.066535	|18.733998
0.066647	|18.735231
0.066759	|18.736465
0.066871	|18.737698
0.066983	|18.738931
0.067095	|18.740164
0.067207	|18.741398
0.067319	|18.742631
0.067431	|18.743864
0.067543	|18.745097
0.067655	|18.746331
0.067767	|18.747564
0.067879	|18.748797
0.067991	|18.750030
0.068103	|18.751264
0.068215	|18.752497
0.068327	|18.753730
0.068439	|18.754963
0.068551	|18.756196
0.068663	|18.757429
0.068775	|18.758663
0.068887	|18.759896
0.068999	|18.761129
0.069111	|18.762362
0.069223	|18.763595
0.069335	|18.764828
0.069447	|18.766061
0.069559	|18.767294
0.069671	|18.768528
0.069783	|18.769761
0.069895	|18.770994
0.070007	|18.772227
0.070119	|18.773460
0.070231	|18.774693
0.070343	|18.775926
0.070455	|18.777159
0.070567	|18.778392
0.070679	|18.779625
0.070791	|18.780858
0.070903	|18.782091
0.071015	|18.783324
0.071127	|18.784557
0.071239	|18.785790
0.071351	|18.787023
0.071463	|18.788256
0.071575	|18.789489
0.071687	|18.790722
0.071799	|18.791955
0.071911	|18.793188
0.072023	|18.794421
0.072135	|18.795654
0.072247	|18.796887
0.072359	|18.798119
0.072471	|18.799352
0.072583	|18.800585
0.072695	|18.801818
0.072807	|18.803051
0.072919	|18.804284
0.073031	|18.805517
0.073143	|18.806750
0.073255	|18.807982
0.073367	|18.809215
0.073479	|18.810448
0.073591	|18.811681
0.073703	|18.812914
0.073815	|18.814146
0.073927	|18.815379
0.074039	|18.816612
0.074151	|18.817845
0.074263	|18.819078
0.074375	|18.820310
0.074487	|18.821543
0.074599	|18.822776
0.074711	|18.824009
0.074823	|18.825241
0.074935	|18.826474
0.075048	|18.827707
0.075160	|18.828939
0.075272	|18.830172
0.075384	|18.831405
0.075496	|18.832637
0.075608	|18.833870
0.075720	|18.835103
0.075832	|18.836335
0.075944	|18.837568
0.076056	|18.838801
0.076168	|18.840033
0.076280	|18.841266
0.076392	|18.842499
0.076504	|18.843731
0.076616	|18.844964
0.076728	|18.846196
0.076840	|18.847429
0.076952	|18.848662
0.077064	|18.849894
0.077176	|18.851127
0.077288	|18.852359
0.077400	|18.853592
0.077512	|18.854824
0.077624	|18.856057
0.077736	|18.857289
0.077848	|18.858522
0.077960	|18.859754
0.078072	|18.860987
0.078184	|18.862219
0.078296	|18.863452
0.078408	|18.864684
0.078520	|18.865917
0.078632	|18.867149
0.078744	|18.868382
0.078856	|18.869614
0.078968	|18.870847
0.079080	|18.872079
0.079192	|18.873311
0.079304	|18.874544
0.079416	|18.875776
0.079528	|18.877009
0.079640	|18.878241
0.079752	|18.879473
0.079864	|18.880706
0.079976	|18.881938
0.080088	|18.883170
0.080200	|18.884403
0.080312	|18.885635
0.080424	|18.886867
0.080536	|18.888100
0.080648	|18.889332
0.080760	|18.890564
0.080872	|18.891797
0.080984	|18.893029
0.081096	|18.894261
0.081208	|18.895494
0.081320	|18.896726
0.081432	|18.897958
0.081544	|18.899190
0.081656	|18.900423
0.081768	|18.901655
0.081880	|18.902887
0.081992	|18.904119
0.082104	|18.905351
0.082216	|18.906584
0.082328	|18.907816
0.082440	|18.909048
0.082552	|18.910280
0.082664	|18.911512
0.082776	|18.912745
0.082888	|18.913977
0.083000	|18.915209
0.083112	|18.916441
0.083224	|18.917673
0.083336	|18.918905
0.083448	|18.920137
0.083560	|18.921369
0.083672	|18.922602
0.083784	|18.923834
0.083896	|18.925066
0.084008	|18.926298
0.084120	|18.927530
0.084232	|18.928762
0.084344	|18.929994
0.084456	|18.931226
0.084568	|18.932458
0.084680	|18.933690
0.084792	|18.934922
0.084904	|18.936154
0.085017	|18.937386
0.085129	|18.938618
0.085241	|18.939850
0.085353	|18.941082
0.085465	|18.942314
0.085577	|18.943546
0.085689	|18.944778
0.085801	|18.946010
0.085913	|18.947242
0.086025	|18.948474
0.086137	|18.949706
0.086249	|18.950938
0.086361	|18.952170
0.086473	|18.953401
0.086585	|18.954633
0.086697	|18.955865
0.086809	|18.957097
0.086921	|18.958329
0.087033	|18.959561
0.087145	|18.960793
0.087257	|18.962025
0.087369	|18.963256
0.087481	|18.964488
0.087593	|18.965720
0.087705	|18.966952
0.087817	|18.968184
0.087929	|18.969415
0.088041	|18.970647
0.088153	|18.971879
0.088265	|18.973111
0.088377	|18.974343
0.088489	|18.975574
0.088601	|18.976806
0.088713	|18.978038
0.088825	|18.979270
0.088937	|18.980501
0.089049	|18.981733
0.089161	|18.982965
0.089273	|18.984196
0.089385	|18.985428
0.089497	|18.986660
0.089609	|18.987891
0.089721	|18.989123
0.089833	|18.990355
0.089945	|18.991586
0.090057	|18.992818
0.090169	|18.994050
0.090281	|18.995281
0.090393	|18.996513
0.090505	|18.997745
0.090617	|18.998976
0.090729	|19.000208
0.090841	|19.001439
0.090953	|19.002671
0.091065	|19.003903
0.091177	|19.005134
0.091289	|19.006366
0.091401	|19.007597
0.091513	|19.008829
0.091625	|19.010060
0.091737	|19.011292
0.091849	|19.012523
0.091961	|19.013755
0.092073	|19.014986
0.092185	|19.016218
0.092297	|19.017449
0.092409	|19.018681
0.092521	|19.019912
0.092633	|19.021144
0.092745	|19.022375
0.092857	|19.023607
0.092969	|19.024838
0.093081	|19.026070
0.093193	|19.027301
0.093305	|19.028532
0.093417	|19.029764
0.093529	|19.030995
0.093641	|19.032227
0.093753	|19.033458
0.093865	|19.034689
0.093977	|19.035921
0.094089	|19.037152
0.094201	|19.038383
0.094313	|19.039615
0.094425	|19.040846
0.094537	|19.042077
0.094649	|19.043309
0.094761	|19.044540
0.094873	|19.045771
0.094985	|19.047003
0.095098	|19.048234
0.095210	|19.049465
0.095322	|19.050697
0.095434	|19.051928
0.095546	|19.053159
0.095658	|19.054390
0.095770	|19.055622
0.095882	|19.056853
0.095994	|19.058084
0.096106	|19.059315
0.096218	|19.060546
0.096330	|19.061778
0.096442	|19.063009
0.096554	|19.064240
0.096666	|19.065471
0.096778	|19.066702
0.096890	|19.067934
0.097002	|19.069165
0.097114	|19.070396
0.097226	|19.071627
0.097338	|19.072858
0.097450	|19.074089
0.097562	|19.075320
0.097674	|19.076551
0.097786	|19.077783
0.097898	|19.079014
0.098010	|19.080245
0.098122	|19.081476
0.098234	|19.082707
0.098346	|19.083938
0.098458	|19.085169
0.098570	|19.086400
0.098682	|19.087631
0.098794	|19.088862
0.098906	|19.090093
0.099018	|19.091324
0.099130	|19.092555
0.099242	|19.093786
0.099354	|19.095017
0.099466	|19.096248
0.099578	|19.097479
0.099690	|19.098710
0.099802	|19.099941
0.099914	|19.101172
0.100026	|19.102403
0.100138	|19.103634
0.100250	|19.104865
0.100362	|19.106096
0.100474	|19.107327
0.100586	|19.108557
0.100698	|19.109788
0.100810	|19.111019
0.100922	|19.112250
0.101034	|19.113481
0.101146	|19.114712
0.101258	|19.115943
0.101370	|19.117174
0.101482	|19.118404
0.101594	|19.119635
0.101706	|19.120866
0.101818	|19.122097
0.101930	|19.123328
0.102042	|19.124558
0.102154	|19.125789
0.102266	|19.127020
0.102378	|19.128251
0.102490	|19.129482
0.102602	|19.130712
0.102714	|19.131943
0.102826	|19.133174
0.102938	|19.134405
0.103050	|19.135635
0.103162	|19.136866
0.103274	|19.138097
0.103386	|19.139327
0.103498	|19.140558
0.103610	|19.141789
0.103722	|19.143019
0.103834	|19.144250
0.103946	|19.145481
0.104058	|19.146711
0.104170	|19.147942
0.104282	|19.149173
0.104394	|19.150403
0.104506	|19.151634
0.104618	|19.152865
0.104730	|19.154095
0.104842	|19.155326
0.104954	|19.156556
0.105067	|19.157787
0.105179	|19.159018
0.105291	|19.160248
0.105403	|19.161479
