Run No.	HPCF No.	P (bars)	T_m	T_U	DT	Ra(Tm)	Pr(Tm)	Nu(Tm)	Nu(Tm)/Ra(Tm)^0.312	Nu(Tm)/Ra(Tm)^0.321	nu(Tm)	kappa(Tm)	alpha(Tm)	T_c	Ra(T_C)	Pr(T_C)	Nu(T_C)	Nu(T_C)/Ra(T_C)^0.312	Nu(T_C)/Ra(T_C)^0.321	nu(T_C)	kappa(T_C)	alpha(T_C)	T_c - T_m (K)	(T_c - T_m)/(T_m+273.15)	alpha*DT	Nu(Tm)/Nu(Tc)	T_m - T_U (K)
141205	4	15.285	21.479	24.051	15.945	73060000000000	0.844	2169.06	0.1025	7.69e-2	1.3816e-3	1.6366e-3	7.5315e-3	21.304	73530000000000	0.844	2170.48	0.10238	7.681e-2	1.37925e-3	1.6338e-3	7.5545e-3	-0.175	-5.939673e-4	0.1200898	0.9993458	-2.572
141205	4	15.276	21.49	23.861	13.97	63850000000000	0.844	2072.03	0.1021	7.67e-2	1.3827e-3	1.638e-3	7.525e-3	21.352	64170000000000	0.844	2073.1	0.10203	7.66409e-2	1.38087e-3	1.6358e-3	7.5431e-3	-0.138	-4.683682e-4	0.1051243	0.9994839	-2.371
141206	4	15.272	21.499	23.755	11.989	54720000000000	0.844	1968.14	0.1018	7.66e-2	1.3833e-3	1.6388e-3	7.5215e-3	21.386	54950000000000	0.844	1968.97	0.10171	7.65104e-2	1.38179e-3	1.637e-3	7.5362e-3	-0.113	-3.835072e-4	9.017526e-2	0.9995785	-2.256
141207	4	15.259	21.512	23.632	11.017	50100000000000	0.844	1919.11	0.102	7.68e-2	1.3849e-3	1.6408e-3	7.5126e-3	21.408	50300000000000	0.844	1919.86	0.10195	7.67494e-2	1.38348e-3	1.6391e-3	7.5262e-3	-0.104	-3.529468e-4	8.276631e-2	0.9996093	-2.12
141208	4	15.252	21.495	23.56	9.985	45350000000000	0.844	1861.36	0.1021	7.69e-2	1.3855e-3	1.6417e-3	7.5104e-3	21.399	45520000000000	0.844	1862.04	0.10201	7.68635e-2	1.3842e-3	1.6401e-3	7.523e-3	-9.6e-2	-3.258158e-4	7.499134e-2	0.9996348	-2.065
141208	4	15.246	21.501	23.423	7.998	36270000000000	0.844	1724.83	0.1014	7.66e-2	1.3861e-3	1.6425e-3	7.5068e-3	21.429	36370000000000	0.844	1725.3	0.10137	7.6536e-2	1.38518e-3	1.6413e-3	7.5161e-3	-7.2e-2	-2.443569e-4	6.003939e-2	0.9997276	-1.922
141209	4	15.268	21.501	23.711	11.993	54690000000000	0.844	1966.59	0.1017	7.65e-2	1.3837e-3	1.6393e-3	7.5193e-3	21.388	54920000000000	0.844	1967.42	0.10165	7.64637e-2	1.3822e-3	1.6375e-3	7.534e-3	-0.113	-3.835046e-4	9.017896e-2	0.9995781	-2.21
141211	4	15.272	21.499	23.792	12.989	59290000000000	0.844	2020.57	0.1019	7.66e-2	1.3833e-3	1.6387e-3	7.5217e-3	21.374	59560000000000	0.844	2021.52	0.10183	7.65445e-2	1.38158e-3	1.6367e-3	7.5381e-3	-0.125	-4.242336e-4	9.769936e-2	0.9995301	-2.293
141212	4	15.278	21.489	23.918	13.968	63860000000000	0.844	2072.88	0.1022	7.68e-2	1.3825e-3	1.6378e-3	7.5261e-3	21.351	64190000000000	0.844	2073.95	0.10206	7.66658e-2	1.38067e-3	1.6356e-3	7.5442e-3	-0.138	-4.683698e-4	0.1051246	0.9994841	-2.429
141213	4	15.271	21.501	23.761	11.994	54720000000000	0.844	1966.29	0.1017	7.65e-2	1.3834e-3	1.639e-3	7.5207e-3	21.391	54950000000000	0.844	1967.11	0.10162	7.64374e-2	1.38195e-3	1.6372e-3	7.5351e-3	-0.11	-3.73323e-4	9.020328e-2	0.9995831	-2.26
141213	4	15.28	21.499	23.926	14.987	68530000000000	0.844	2123.16	0.1024	7.69e-2	1.3824e-3	1.6377e-3	7.5259e-3	21.343	68930000000000	0.844	2124.4	0.10225	7.67563e-2	1.38034e-3	1.6351e-3	7.5464e-3	-0.156	-5.294435e-4	0.1127907	0.9994163	-2.427
141214	4	15.285	21.477	24.036	16.44	75320000000000	0.844	2193.42	0.1027	7.7e-2	1.3816e-3	1.6366e-3	7.5316e-3	21.297	75830000000000	0.844	2194.89	0.10254	7.69111e-2	1.37919e-3	1.6337e-3	7.5552e-3	-0.18	-6.10942e-4	0.1238195	0.9993303	-2.559
141214	4	15.285	21.476	24.041	16.438	75320000000000	0.844	2194.15	0.1027	7.71e-2	1.3816e-3	1.6366e-3	7.5318e-3	21.293	75830000000000	0.844	2195.65	0.10258	7.69367e-2	1.37913e-3	1.6336e-3	7.5558e-3	-0.183	-6.211264e-4	0.1238077	0.9993168	-2.565
141216	4	13.146	21.54	23.884	17.069	46110000000000	0.83	1853.47	0.1011	7.62e-2	1.6541e-3	1.9937e-3	6.4757e-3	21.418	46290000000000	0.83	1854.47	0.10106	7.61387e-2	1.65228e-3	1.9914e-3	6.4865e-3	-0.122	-4.139944e-4	0.1105337	0.9994608	-2.344
