#z [m]	|p [pa]
0.238360	|803032.446625
0.238472	|803032.505450
0.238584	|803032.564274
0.238696	|803032.623099
0.238808	|803032.681923
0.238920	|803032.740746
0.239032	|803032.799569
0.239144	|803032.858392
0.239256	|803032.917215
0.239368	|803032.976037
0.239480	|803033.034859
0.239592	|803033.093680
0.239704	|803033.152501
0.239816	|803033.211322
0.239928	|803033.270143
0.240040	|803033.328963
0.240152	|803033.387783
0.240264	|803033.446602
0.240376	|803033.505421
0.240488	|803033.564240
0.240600	|803033.623058
0.240712	|803033.681876
0.240824	|803033.740694
0.240936	|803033.799511
0.241048	|803033.858328
0.241160	|803033.917145
0.241272	|803033.975961
0.241384	|803034.034777
0.241496	|803034.093593
0.241608	|803034.152408
0.241720	|803034.211223
0.241832	|803034.270038
0.241944	|803034.328852
0.242056	|803034.387666
0.242168	|803034.446480
0.242280	|803034.505293
0.242392	|803034.564106
0.242504	|803034.622918
0.242616	|803034.681731
0.242728	|803034.740542
0.242840	|803034.799354
0.242952	|803034.858165
0.243064	|803034.916976
0.243176	|803034.975786
0.243288	|803035.034596
0.243400	|803035.093406
0.243512	|803035.152216
0.243624	|803035.211025
0.243736	|803035.269834
0.243848	|803035.328642
0.243960	|803035.387450
0.244072	|803035.446258
0.244184	|803035.505065
0.244296	|803035.563872
0.244408	|803035.622679
0.244520	|803035.681485
0.244632	|803035.740291
0.244744	|803035.799097
0.244856	|803035.857902
0.244968	|803035.916707
0.245081	|803035.975512
0.245193	|803036.034316
0.245305	|803036.093120
0.245417	|803036.151924
0.245529	|803036.210727
0.245641	|803036.269530
0.245753	|803036.328332
0.245865	|803036.387134
0.245977	|803036.445936
0.246089	|803036.504738
0.246201	|803036.563539
0.246313	|803036.622340
0.246425	|803036.681140
0.246537	|803036.739940
0.246649	|803036.798740
0.246761	|803036.857540
0.246873	|803036.916339
0.246985	|803036.975138
0.247097	|803037.033936
0.247209	|803037.092734
0.247321	|803037.151532
0.247433	|803037.210329
0.247545	|803037.269126
0.247657	|803037.327923
0.247769	|803037.386719
0.247881	|803037.445515
0.247993	|803037.504311
0.248105	|803037.563106
0.248217	|803037.621901
0.248329	|803037.680696
0.248441	|803037.739490
0.248553	|803037.798284
0.248665	|803037.857078
0.248777	|803037.915871
0.248889	|803037.974664
0.249001	|803038.033457
0.249113	|803038.092249
0.249225	|803038.151041
0.249337	|803038.209832
0.249449	|803038.268623
0.249561	|803038.327414
0.249673	|803038.386205
0.249785	|803038.444995
0.249897	|803038.503785
0.250009	|803038.562574
0.250121	|803038.621363
0.250233	|803038.680152
0.250345	|803038.738941
0.250457	|803038.797729
0.250569	|803038.856517
0.250681	|803038.915304
0.250793	|803038.974091
0.250905	|803039.032878
0.251017	|803039.091664
0.251129	|803039.150450
0.251241	|803039.209236
0.251353	|803039.268021
0.251465	|803039.326806
0.251577	|803039.385591
0.251689	|803039.444375
0.251801	|803039.503159
0.251913	|803039.561943
0.252025	|803039.620726
0.252137	|803039.679509
0.252249	|803039.738292
0.252361	|803039.797074
0.252473	|803039.855856
0.252585	|803039.914637
0.252697	|803039.973419
0.252809	|803040.032200
0.252921	|803040.090980
0.253033	|803040.149760
0.253145	|803040.208540
0.253257	|803040.267320
0.253369	|803040.326099
0.253481	|803040.384878
0.253593	|803040.443656
0.253705	|803040.502434
0.253817	|803040.561212
0.253929	|803040.619989
0.254041	|803040.678767
0.254153	|803040.737543
0.254265	|803040.796320
0.254377	|803040.855096
0.254489	|803040.913872
0.254601	|803040.972647
0.254713	|803041.031422
0.254825	|803041.090197
0.254937	|803041.148971
0.255050	|803041.207745
0.255162	|803041.266519
0.255274	|803041.325292
0.255386	|803041.384065
0.255498	|803041.442838
0.255610	|803041.501610
0.255722	|803041.560382
0.255834	|803041.619154
0.255946	|803041.677925
0.256058	|803041.736696
0.256170	|803041.795466
0.256282	|803041.854236
0.256394	|803041.913006
0.256506	|803041.971776
0.256618	|803042.030545
0.256730	|803042.089314
0.256842	|803042.148082
0.256954	|803042.206851
0.257066	|803042.265618
0.257178	|803042.324386
0.257290	|803042.383153
0.257402	|803042.441920
0.257514	|803042.500686
0.257626	|803042.559452
0.257738	|803042.618218
0.257850	|803042.676984
0.257962	|803042.735749
0.258074	|803042.794513
0.258186	|803042.853278
0.258298	|803042.912042
0.258410	|803042.970806
0.258522	|803043.029569
0.258634	|803043.088332
0.258746	|803043.147095
0.258858	|803043.205857
0.258970	|803043.264619
0.259082	|803043.323381
0.259194	|803043.382142
0.259306	|803043.440903
0.259418	|803043.499664
0.259530	|803043.558424
0.259642	|803043.617184
0.259754	|803043.675943
0.259866	|803043.734703
0.259978	|803043.793461
0.260090	|803043.852220
0.260202	|803043.910978
0.260314	|803043.969736
0.260426	|803044.028494
0.260538	|803044.087251
0.260650	|803044.146008
0.260762	|803044.204764
0.260874	|803044.263520
0.260986	|803044.322276
0.261098	|803044.381032
0.261210	|803044.439787
0.261322	|803044.498541
0.261434	|803044.557296
0.261546	|803044.616050
0.261658	|803044.674804
0.261770	|803044.733557
0.261882	|803044.792310
0.261994	|803044.851063
0.262106	|803044.909815
0.262218	|803044.968567
0.262330	|803045.027319
0.262442	|803045.086070
0.262554	|803045.144821
0.262666	|803045.203572
0.262778	|803045.262322
0.262890	|803045.321072
0.263002	|803045.379822
0.263114	|803045.438571
0.263226	|803045.497320
0.263338	|803045.556069
0.263450	|803045.614817
0.263562	|803045.673565
0.263674	|803045.732313
0.263786	|803045.791060
0.263898	|803045.849807
0.264010	|803045.908553
0.264122	|803045.967300
0.264234	|803046.026045
0.264346	|803046.084791
0.264458	|803046.143536
0.264570	|803046.202281
0.264682	|803046.261025
0.264794	|803046.319770
0.264906	|803046.378513
0.265019	|803046.437257
0.265131	|803046.496000
0.265243	|803046.554743
0.265355	|803046.613485
0.265467	|803046.672227
0.265579	|803046.730969
0.265691	|803046.789710
0.265803	|803046.848451
0.265915	|803046.907192
0.266027	|803046.965933
0.266139	|803047.024673
0.266251	|803047.083412
0.266363	|803047.142152
0.266475	|803047.200891
0.266587	|803047.259629
0.266699	|803047.318368
0.266811	|803047.377106
0.266923	|803047.435843
0.267035	|803047.494580
0.267147	|803047.553317
0.267259	|803047.612054
0.267371	|803047.670790
0.267483	|803047.729526
0.267595	|803047.788262
0.267707	|803047.846997
0.267819	|803047.905732
0.267931	|803047.964466
0.268043	|803048.023201
0.268155	|803048.081935
0.268267	|803048.140668
0.268379	|803048.199401
0.268491	|803048.258134
0.268603	|803048.316867
0.268715	|803048.375599
0.268827	|803048.434330
0.268939	|803048.493062
0.269051	|803048.551793
0.269163	|803048.610524
0.269275	|803048.669254
0.269387	|803048.727984
0.269499	|803048.786714
0.269611	|803048.845444
0.269723	|803048.904173
0.269835	|803048.962901
0.269947	|803049.021630
0.270059	|803049.080358
0.270171	|803049.139085
0.270283	|803049.197813
0.270395	|803049.256540
0.270507	|803049.315266
0.270619	|803049.373993
0.270731	|803049.432719
0.270843	|803049.491444
0.270955	|803049.550170
0.271067	|803049.608895
0.271179	|803049.667619
0.271291	|803049.726344
0.271403	|803049.785067
0.271515	|803049.843791
0.271627	|803049.902514
0.271739	|803049.961237
0.271851	|803050.019960
0.271963	|803050.078682
0.272075	|803050.137404
0.272187	|803050.196125
0.272299	|803050.254847
0.272411	|803050.313567
0.272523	|803050.372288
0.272635	|803050.431008
0.272747	|803050.489728
0.272859	|803050.548447
0.272971	|803050.607166
0.273083	|803050.665885
0.273195	|803050.724604
0.273307	|803050.783322
0.273419	|803050.842040
0.273531	|803050.900757
0.273643	|803050.959474
0.273755	|803051.018191
0.273867	|803051.076907
0.273979	|803051.135623
0.274091	|803051.194339
0.274203	|803051.253054
0.274315	|803051.311769
0.274427	|803051.370484
0.274539	|803051.429198
0.274651	|803051.487912
0.274763	|803051.546626
0.274875	|803051.605339
0.274987	|803051.664052
0.275100	|803051.722765
0.275212	|803051.781477
0.275324	|803051.840189
0.275436	|803051.898901
0.275548	|803051.957612
0.275660	|803052.016323
0.275772	|803052.075034
0.275884	|803052.133744
0.275996	|803052.192454
0.276108	|803052.251163
0.276220	|803052.309872
0.276332	|803052.368581
0.276444	|803052.427290
0.276556	|803052.485998
0.276668	|803052.544706
0.276780	|803052.603413
0.276892	|803052.662121
0.277004	|803052.720827
0.277116	|803052.779534
0.277228	|803052.838240
0.277340	|803052.896946
0.277452	|803052.955651
0.277564	|803053.014356
0.277676	|803053.073061
0.277788	|803053.131765
0.277900	|803053.190469
0.278012	|803053.249173
0.278124	|803053.307877
0.278236	|803053.366580
0.278348	|803053.425282
0.278460	|803053.483985
0.278572	|803053.542687
0.278684	|803053.601388
0.278796	|803053.660090
0.278908	|803053.718791
0.279020	|803053.777491
0.279132	|803053.836192
0.279244	|803053.894892
0.279356	|803053.953591
0.279468	|803054.012291
0.279580	|803054.070990
0.279692	|803054.129688
0.279804	|803054.188386
0.279916	|803054.247084
0.280028	|803054.305782
0.280140	|803054.364479
0.280252	|803054.423176
0.280364	|803054.481873
0.280476	|803054.540569
0.280588	|803054.599265
0.280700	|803054.657960
0.280812	|803054.716655
0.280924	|803054.775350
0.281036	|803054.834045
0.281148	|803054.892739
0.281260	|803054.951433
0.281372	|803055.010126
0.281484	|803055.068819
0.281596	|803055.127512
0.281708	|803055.186205
0.281820	|803055.244897
0.281932	|803055.303588
0.282044	|803055.362280
0.282156	|803055.420971
0.282268	|803055.479662
0.282380	|803055.538352
0.282492	|803055.597042
0.282604	|803055.655732
0.282716	|803055.714421
0.282828	|803055.773110
0.282940	|803055.831799
0.283052	|803055.890487
0.283164	|803055.949175
0.283276	|803056.007863
0.283388	|803056.066550
0.283500	|803056.125237
0.283612	|803056.183924
0.283724	|803056.242610
0.283836	|803056.301296
0.283948	|803056.359982
0.284060	|803056.418667
0.284172	|803056.477352
0.284284	|803056.536037
0.284396	|803056.594721
0.284508	|803056.653405
0.284620	|803056.712088
0.284732	|803056.770772
0.284844	|803056.829454
0.284956	|803056.888137
0.285069	|803056.946819
0.285181	|803057.005501
0.285293	|803057.064183
0.285405	|803057.122864
0.285517	|803057.181545
0.285629	|803057.240225
0.285741	|803057.298905
0.285853	|803057.357585
0.285965	|803057.416264
0.286077	|803057.474944
0.286189	|803057.533622
0.286301	|803057.592301
0.286413	|803057.650979
0.286525	|803057.709657
0.286637	|803057.768334
0.286749	|803057.827011
0.286861	|803057.885688
0.286973	|803057.944364
0.287085	|803058.003040
0.287197	|803058.061716
0.287309	|803058.120391
0.287421	|803058.179066
0.287533	|803058.237741
0.287645	|803058.296416
0.287757	|803058.355090
0.287869	|803058.413763
0.287981	|803058.472437
0.288093	|803058.531109
0.288205	|803058.589782
0.288317	|803058.648454
0.288429	|803058.707126
0.288541	|803058.765798
0.288653	|803058.824469
0.288765	|803058.883140
0.288877	|803058.941811
0.288989	|803059.000481
0.289101	|803059.059151
0.289213	|803059.117821
0.289325	|803059.176490
0.289437	|803059.235159
0.289549	|803059.293827
0.289661	|803059.352495
0.289773	|803059.411163
0.289885	|803059.469831
0.289997	|803059.528498
0.290109	|803059.587165
0.290221	|803059.645831
0.290333	|803059.704497
0.290445	|803059.763163
0.290557	|803059.821829
0.290669	|803059.880494
0.290781	|803059.939159
0.290893	|803059.997823
0.291005	|803060.056487
0.291117	|803060.115151
0.291229	|803060.173814
0.291341	|803060.232477
0.291453	|803060.291140
0.291565	|803060.349803
0.291677	|803060.408465
0.291789	|803060.467126
0.291901	|803060.525788
0.292013	|803060.584449
0.292125	|803060.643109
0.292237	|803060.701770
0.292349	|803060.760430
0.292461	|803060.819090
0.292573	|803060.877749
0.292685	|803060.936408
0.292797	|803060.995066
0.292909	|803061.053725
0.293021	|803061.112383
0.293133	|803061.171040
0.293245	|803061.229698
0.293357	|803061.288355
0.293469	|803061.347011
0.293581	|803061.405667
0.293693	|803061.464323
0.293805	|803061.522979
0.293917	|803061.581634
0.294029	|803061.640289
0.294141	|803061.698944
0.294253	|803061.757598
0.294365	|803061.816252
0.294477	|803061.874905
0.294589	|803061.933559
0.294701	|803061.992211
0.294813	|803062.050864
0.294925	|803062.109516
0.295038	|803062.168168
0.295150	|803062.226819
0.295262	|803062.285471
0.295374	|803062.344121
0.295486	|803062.402772
0.295598	|803062.461422
0.295710	|803062.520072
0.295822	|803062.578721
0.295934	|803062.637370
0.296046	|803062.696019
0.296158	|803062.754667
0.296270	|803062.813315
0.296382	|803062.871963
0.296494	|803062.930611
0.296606	|803062.989258
0.296718	|803063.047904
0.296830	|803063.106551
0.296942	|803063.165197
0.297054	|803063.223843
0.297166	|803063.282488
0.297278	|803063.341133
0.297390	|803063.399778
0.297502	|803063.458422
0.297614	|803063.517066
0.297726	|803063.575710
0.297838	|803063.634353
0.297950	|803063.692996
0.298062	|803063.751638
0.298174	|803063.810281
0.298286	|803063.868923
0.298398	|803063.927564
0.298510	|803063.986206
0.298622	|803064.044846
0.298734	|803064.103487
0.298846	|803064.162127
0.298958	|803064.220767
0.299070	|803064.279407
0.299182	|803064.338046
0.299294	|803064.396685
0.299406	|803064.455323
0.299518	|803064.513962
0.299630	|803064.572599
0.299742	|803064.631237
0.299854	|803064.689874
0.299966	|803064.748511
0.300078	|803064.807147
0.300190	|803064.865784
0.300302	|803064.924419
0.300414	|803064.983055
0.300526	|803065.041690
0.300638	|803065.100325
0.300750	|803065.158959
0.300862	|803065.217593
0.300974	|803065.276227
0.301086	|803065.334861
0.301198	|803065.393494
0.301310	|803065.452126
0.301422	|803065.510759
0.301534	|803065.569391
0.301646	|803065.628023
0.301758	|803065.686654
0.301870	|803065.745285
0.301982	|803065.803916
0.302094	|803065.862546
0.302206	|803065.921176
0.302318	|803065.979806
0.302430	|803066.038435
0.302542	|803066.097064
0.302654	|803066.155693
0.302766	|803066.214321
0.302878	|803066.272949
0.302990	|803066.331577
0.303102	|803066.390204
0.303214	|803066.448831
0.303326	|803066.507458
0.303438	|803066.566084
0.303550	|803066.624710
0.303662	|803066.683336
0.303774	|803066.741961
0.303886	|803066.800586
0.303998	|803066.859210
0.304110	|803066.917835
0.304222	|803066.976459
0.304334	|803067.035082
0.304446	|803067.093705
0.304558	|803067.152328
0.304670	|803067.210951
0.304782	|803067.269573
0.304894	|803067.328195
0.305007	|803067.386816
0.305119	|803067.445437
0.305231	|803067.504058
0.305343	|803067.562679
0.305455	|803067.621299
0.305567	|803067.679919
0.305679	|803067.738538
0.305791	|803067.797157
0.305903	|803067.855776
0.306015	|803067.914395
0.306127	|803067.973013
0.306239	|803068.031631
0.306351	|803068.090248
0.306463	|803068.148865
0.306575	|803068.207482
0.306687	|803068.266098
0.306799	|803068.324714
0.306911	|803068.383330
0.307023	|803068.441945
0.307135	|803068.500561
0.307247	|803068.559175
0.307359	|803068.617790
0.307471	|803068.676404
0.307583	|803068.735017
0.307695	|803068.793631
0.307807	|803068.852244
0.307919	|803068.910856
0.308031	|803068.969469
0.308143	|803069.028081
0.308255	|803069.086692
0.308367	|803069.145304
0.308479	|803069.203915
0.308591	|803069.262525
0.308703	|803069.321136
0.308815	|803069.379746
0.308927	|803069.438355
0.309039	|803069.496964
0.309151	|803069.555573
0.309263	|803069.614182
0.309375	|803069.672790
0.309487	|803069.731398
0.309599	|803069.790006
0.309711	|803069.848613
0.309823	|803069.907220
0.309935	|803069.965826
0.310047	|803070.024433
0.310159	|803070.083039
0.310271	|803070.141644
0.310383	|803070.200249
0.310495	|803070.258854
0.310607	|803070.317459
0.310719	|803070.376063
0.310831	|803070.434667
0.310943	|803070.493270
0.311055	|803070.551873
0.311167	|803070.610476
0.311279	|803070.669079
0.311391	|803070.727681
0.311503	|803070.786283
0.311615	|803070.844884
0.311727	|803070.903485
0.311839	|803070.962086
0.311951	|803071.020686
0.312063	|803071.079286
0.312175	|803071.137886
0.312287	|803071.196486
0.312399	|803071.255085
0.312511	|803071.313683
0.312623	|803071.372282
0.312735	|803071.430880
0.312847	|803071.489478
0.312959	|803071.548075
0.313071	|803071.606672
0.313183	|803071.665269
0.313295	|803071.723865
0.313407	|803071.782461
0.313519	|803071.841057
0.313631	|803071.899652
0.313743	|803071.958247
0.313855	|803072.016842
0.313967	|803072.075436
0.314079	|803072.134030
0.314191	|803072.192624
0.314303	|803072.251217
0.314415	|803072.309810
0.314527	|803072.368403
0.314639	|803072.426995
0.314751	|803072.485587
0.314863	|803072.544179
0.314975	|803072.602770
0.315088	|803072.661361
0.315200	|803072.719951
0.315312	|803072.778542
0.315424	|803072.837131
0.315536	|803072.895721
0.315648	|803072.954310
0.315760	|803073.012899
0.315872	|803073.071488
0.315984	|803073.130076
0.316096	|803073.188664
0.316208	|803073.247251
0.316320	|803073.305839
0.316432	|803073.364425
0.316544	|803073.423012
0.316656	|803073.481598
0.316768	|803073.540184
0.316880	|803073.598769
0.316992	|803073.657355
0.317104	|803073.715939
0.317216	|803073.774524
0.317328	|803073.833108
0.317440	|803073.891692
0.317552	|803073.950275
0.317664	|803074.008858
0.317776	|803074.067441
0.317888	|803074.126024
0.318000	|803074.184606
0.318112	|803074.243187
0.318224	|803074.301769
0.318336	|803074.360350
0.318448	|803074.418931
0.318560	|803074.477511
0.318672	|803074.536091
0.318784	|803074.594671
0.318896	|803074.653250
0.319008	|803074.711829
0.319120	|803074.770408
0.319232	|803074.828986
0.319344	|803074.887564
0.319456	|803074.946142
0.319568	|803075.004719
0.319680	|803075.063297
0.319792	|803075.121873
0.319904	|803075.180450
0.320016	|803075.239026
0.320128	|803075.297601
0.320240	|803075.356176
0.320352	|803075.414751
0.320464	|803075.473326
0.320576	|803075.531900
0.320688	|803075.590474
0.320800	|803075.649048
0.320912	|803075.707621
0.321024	|803075.766194
0.321136	|803075.824767
0.321248	|803075.883339
0.321360	|803075.941911
0.321472	|803076.000483
0.321584	|803076.059054
0.321696	|803076.117625
0.321808	|803076.176195
0.321920	|803076.234766
0.322032	|803076.293335
0.322144	|803076.351905
0.322256	|803076.410474
0.322368	|803076.469043
0.322480	|803076.527612
0.322592	|803076.586180
0.322704	|803076.644748
0.322816	|803076.703315
0.322928	|803076.761882
0.323040	|803076.820449
0.323152	|803076.879016
0.323264	|803076.937582
0.323376	|803076.996148
0.323488	|803077.054713
0.323600	|803077.113278
0.323712	|803077.171843
0.323824	|803077.230408
0.323936	|803077.288972
0.324048	|803077.347535
0.324160	|803077.406099
0.324272	|803077.464662
0.324384	|803077.523225
0.324496	|803077.581787
0.324608	|803077.640349
0.324720	|803077.698911
0.324832	|803077.757472
0.324944	|803077.816034
0.325057	|803077.874594
0.325169	|803077.933155
0.325281	|803077.991715
0.325393	|803078.050274
0.325505	|803078.108834
0.325617	|803078.167393
0.325729	|803078.225952
0.325841	|803078.284510
0.325953	|803078.343068
0.326065	|803078.401626
0.326177	|803078.460183
0.326289	|803078.518740
0.326401	|803078.577297
0.326513	|803078.635853
0.326625	|803078.694409
0.326737	|803078.752965
0.326849	|803078.811520
0.326961	|803078.870075
0.327073	|803078.928630
0.327185	|803078.987184
0.327297	|803079.045738
0.327409	|803079.104291
0.327521	|803079.162845
0.327633	|803079.221398
0.327745	|803079.279950
0.327857	|803079.338503
0.327969	|803079.397055
0.328081	|803079.455606
0.328193	|803079.514157
0.328305	|803079.572708
0.328417	|803079.631259
0.328529	|803079.689809
0.328641	|803079.748359
0.328753	|803079.806909
0.328865	|803079.865458
0.328977	|803079.924007
0.329089	|803079.982555
0.329201	|803080.041103
0.329313	|803080.099651
0.329425	|803080.158199
0.329537	|803080.216746
0.329649	|803080.275293
0.329761	|803080.333839
0.329873	|803080.392385
0.329985	|803080.450931
0.330097	|803080.509477
0.330209	|803080.568022
0.330321	|803080.626567
0.330433	|803080.685111
0.330545	|803080.743655
0.330657	|803080.802199
0.330769	|803080.860743
0.330881	|803080.919286
0.330993	|803080.977829
0.331105	|803081.036371
0.331217	|803081.094913
0.331329	|803081.153455
0.331441	|803081.211996
0.331553	|803081.270537
0.331665	|803081.329078
0.331777	|803081.387619
0.331889	|803081.446159
0.332001	|803081.504698
0.332113	|803081.563238
0.332225	|803081.621777
0.332337	|803081.680316
0.332449	|803081.738854
0.332561	|803081.797392
0.332673	|803081.855930
0.332785	|803081.914467
0.332897	|803081.973004
0.333009	|803082.031541
0.333121	|803082.090077
0.333233	|803082.148613
0.333345	|803082.207149
0.333457	|803082.265684
0.333569	|803082.324219
0.333681	|803082.382754
0.333793	|803082.441288
0.333905	|803082.499822
0.334017	|803082.558356
0.334129	|803082.616889
0.334241	|803082.675422
0.334353	|803082.733955
0.334465	|803082.792487
0.334577	|803082.851019
0.334689	|803082.909551
0.334801	|803082.968082
0.334913	|803083.026613
0.335026	|803083.085143
0.335138	|803083.143674
0.335250	|803083.202204
0.335362	|803083.260733
0.335474	|803083.319262
0.335586	|803083.377791
0.335698	|803083.436320
0.335810	|803083.494848
0.335922	|803083.553376
0.336034	|803083.611904
0.336146	|803083.670431
0.336258	|803083.728958
0.336370	|803083.787484
0.336482	|803083.846011
0.336594	|803083.904536
0.336706	|803083.963062
0.336818	|803084.021587
0.336930	|803084.080112
0.337042	|803084.138637
0.337154	|803084.197161
0.337266	|803084.255685
0.337378	|803084.314208
0.337490	|803084.372731
0.337602	|803084.431254
0.337714	|803084.489777
0.337826	|803084.548299
0.337938	|803084.606820
0.338050	|803084.665342
0.338162	|803084.723863
0.338274	|803084.782384
0.338386	|803084.840904
0.338498	|803084.899424
0.338610	|803084.957944
0.338722	|803085.016464
0.338834	|803085.074983
0.338946	|803085.133502
0.339058	|803085.192020
0.339170	|803085.250538
0.339282	|803085.309056
0.339394	|803085.367573
0.339506	|803085.426090
0.339618	|803085.484607
0.339730	|803085.543123
0.339842	|803085.601640
0.339954	|803085.660155
0.340066	|803085.718671
0.340178	|803085.777186
0.340290	|803085.835700
0.340402	|803085.894215
0.340514	|803085.952729
0.340626	|803086.011243
0.340738	|803086.069756
0.340850	|803086.128269
0.340962	|803086.186782
0.341074	|803086.245294
0.341186	|803086.303806
0.341298	|803086.362318
0.341410	|803086.420829
0.341522	|803086.479340
0.341634	|803086.537851
0.341746	|803086.596361
0.341858	|803086.654871
0.341970	|803086.713381
0.342082	|803086.771890
0.342194	|803086.830399
0.342306	|803086.888908
0.342418	|803086.947416
0.342530	|803087.005924
0.342642	|803087.064431
0.342754	|803087.122939
0.342866	|803087.181446
0.342978	|803087.239952
0.343090	|803087.298459
0.343202	|803087.356964
0.343314	|803087.415470
0.343426	|803087.473975
0.343538	|803087.532480
0.343650	|803087.590985
0.343762	|803087.649489
0.343874	|803087.707993
0.343986	|803087.766497
0.344098	|803087.825000
0.344210	|803087.883503
0.344322	|803087.942005
0.344434	|803088.000507
0.344546	|803088.059009
0.344658	|803088.117511
0.344770	|803088.176012
0.344882	|803088.234513
0.344994	|803088.293013
0.345107	|803088.351514
0.345219	|803088.410013
0.345331	|803088.468513
0.345443	|803088.527012
0.345555	|803088.585511
0.345667	|803088.644010
0.345779	|803088.702508
0.345891	|803088.761006
0.346003	|803088.819503
0.346115	|803088.878000
0.346227	|803088.936497
0.346339	|803088.994993
0.346451	|803089.053490
0.346563	|803089.111985
0.346675	|803089.170481
0.346787	|803089.228976
0.346899	|803089.287471
0.347011	|803089.345965
0.347123	|803089.404459
0.347235	|803089.462953
0.347347	|803089.521447
0.347459	|803089.579940
0.347571	|803089.638432
0.347683	|803089.696925
0.347795	|803089.755417
0.347907	|803089.813909
0.348019	|803089.872400
0.348131	|803089.930891
0.348243	|803089.989382
0.348355	|803090.047872
0.348467	|803090.106362
0.348579	|803090.164852
0.348691	|803090.223342
0.348803	|803090.281831
0.348915	|803090.340319
0.349027	|803090.398808
0.349139	|803090.457296
0.349251	|803090.515783
0.349363	|803090.574271
0.349475	|803090.632758
0.349587	|803090.691245
0.349699	|803090.749731
0.349811	|803090.808217
0.349923	|803090.866703
0.350035	|803090.925188
0.350147	|803090.983673
0.350259	|803091.042158
0.350371	|803091.100642
0.350483	|803091.159126
0.350595	|803091.217610
0.350707	|803091.276093
0.350819	|803091.334576
0.350931	|803091.393059
0.351043	|803091.451541
0.351155	|803091.510023
0.351267	|803091.568505
0.351379	|803091.626986
0.351491	|803091.685467
0.351603	|803091.743947
0.351715	|803091.802428
0.351827	|803091.860908
0.351939	|803091.919387
0.352051	|803091.977867
0.352163	|803092.036345
0.352275	|803092.094824
0.352387	|803092.153302
0.352499	|803092.211780
0.352611	|803092.270258
0.352723	|803092.328735
0.352835	|803092.387212
0.352947	|803092.445689
0.353059	|803092.504165
0.353171	|803092.562641
0.353283	|803092.621116
0.353395	|803092.679592
0.353507	|803092.738066
0.353619	|803092.796541
0.353731	|803092.855015
0.353843	|803092.913489
0.353955	|803092.971963
0.354067	|803093.030436
0.354179	|803093.088909
0.354291	|803093.147381
0.354403	|803093.205853
0.354515	|803093.264325
0.354627	|803093.322797
0.354739	|803093.381268
0.354851	|803093.439739
0.354963	|803093.498209
0.355076	|803093.556680
0.355188	|803093.615149
0.355300	|803093.673619
0.355412	|803093.732088
0.355524	|803093.790557
0.355636	|803093.849025
0.355748	|803093.907494
0.355860	|803093.965961
0.355972	|803094.024429
0.356084	|803094.082896
0.356196	|803094.141363
0.356308	|803094.199829
0.356420	|803094.258295
0.356532	|803094.316761
0.356644	|803094.375227
0.356756	|803094.433692
0.356868	|803094.492157
0.356980	|803094.550621
0.357092	|803094.609085
0.357204	|803094.667549
0.357316	|803094.726012
0.357428	|803094.784475
0.357540	|803094.842938
0.357652	|803094.901401
0.357764	|803094.959863
0.357876	|803095.018325
0.357988	|803095.076786
0.358100	|803095.135247
0.358212	|803095.193708
0.358324	|803095.252168
0.358436	|803095.310628
0.358548	|803095.369088
0.358660	|803095.427547
0.358772	|803095.486006
0.358884	|803095.544465
0.358996	|803095.602924
0.359108	|803095.661382
0.359220	|803095.719839
0.359332	|803095.778297
0.359444	|803095.836754
0.359556	|803095.895210
0.359668	|803095.953667
0.359780	|803096.012123
0.359892	|803096.070579
0.360004	|803096.129034
0.360116	|803096.187489
0.360228	|803096.245944
0.360340	|803096.304398
0.360452	|803096.362852
0.360564	|803096.421306
0.360676	|803096.479759
0.360788	|803096.538212
0.360900	|803096.596665
0.361012	|803096.655117
0.361124	|803096.713569
0.361236	|803096.772021
0.361348	|803096.830472
0.361460	|803096.888923
0.361572	|803096.947374
0.361684	|803097.005824
0.361796	|803097.064274
0.361908	|803097.122724
0.362020	|803097.181173
0.362132	|803097.239622
0.362244	|803097.298070
0.362356	|803097.356519
0.362468	|803097.414967
0.362580	|803097.473414
0.362692	|803097.531862
0.362804	|803097.590309
0.362916	|803097.648755
0.363028	|803097.707201
0.363140	|803097.765647
0.363252	|803097.824093
0.363364	|803097.882538
0.363476	|803097.940983
0.363588	|803097.999428
0.363700	|803098.057872
0.363812	|803098.116316
0.363924	|803098.174759
0.364036	|803098.233203
0.364148	|803098.291646
0.364260	|803098.350088
0.364372	|803098.408530
0.364484	|803098.466972
0.364596	|803098.525414
0.364708	|803098.583855
0.364820	|803098.642296
0.364932	|803098.700737
0.365045	|803098.759177
0.365157	|803098.817617
0.365269	|803098.876056
0.365381	|803098.934495
0.365493	|803098.992934
0.365605	|803099.051373
0.365717	|803099.109811
0.365829	|803099.168249
0.365941	|803099.226686
0.366053	|803099.285124
0.366165	|803099.343560
0.366277	|803099.401997
0.366389	|803099.460433
0.366501	|803099.518869
0.366613	|803099.577305
0.366725	|803099.635740
0.366837	|803099.694175
0.366949	|803099.752609
0.367061	|803099.811043
0.367173	|803099.869477
0.367285	|803099.927911
0.367397	|803099.986344
0.367509	|803100.044777
0.367621	|803100.103209
0.367733	|803100.161641
0.367845	|803100.220073
0.367957	|803100.278504
0.368069	|803100.336936
0.368181	|803100.395366
0.368293	|803100.453797
0.368405	|803100.512227
0.368517	|803100.570657
0.368629	|803100.629086
0.368741	|803100.687515
